Run,age_description,Age,Assay Type,AvgSpotLen,Biomaterial_provider,BioProject,Biorep,BioSample,cell_description,cell_organism,cell,cell_sex,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,datatype_description,datatype,Experiment,GEO_Accession,Instrument,lab_description,lab,labexpid,Library Name,LibraryLayout,LibrarySelection,LibrarySource,MBases,MBytes,Organism,Platform,readtype_description,readtype,ReleaseDate,sample_acc,Sample Name,source_name,spikeinpool,SRA Study,strain_description,strain,replicate
SRR453077,"Adult 8 weeks,Adult 8 weeks","adult-8wks,adult-8wks",RNA-Seq,152,CSHL lab,PRJNA66167,11AWC,SAMN00849374,Ovary,mouse,Ovary,U,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Sequencing analysis of RNA expression,RnaSeq,SRX135150,GSM900183,Illumina Genome Analyzer II,Gingeras - Cold Spring Harbor Laboratory,CSHL-m,LID20821,GSM900183: CSHL_RnaSeq_Ovary_adult-8wks,PAIRED,cDNA,TRANSCRIPTOMIC,2461,1300,Mus musculus,ILLUMINA,Paired 76 nt directed reads,2x76D,2012-04-03T00:00:00Z,SRS307248,GSM900183,Ovary,Nist14,SRP012040,"C57 black 6\, the most common inbred strain of laboratory mouse",C57BL/6J,1
SRR453078,"Adult 8 weeks,Adult 8 weeks","adult-8wks,adult-8wks",RNA-Seq,152,CSHL lab,PRJNA66167,11AWC,SAMN00849374,Ovary,mouse,Ovary,U,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Sequencing analysis of RNA expression,RnaSeq,SRX135150,GSM900183,Illumina Genome Analyzer II,Gingeras - Cold Spring Harbor Laboratory,CSHL-m,LID20821,GSM900183: CSHL_RnaSeq_Ovary_adult-8wks,PAIRED,cDNA,TRANSCRIPTOMIC,1818,1015,Mus musculus,ILLUMINA,Paired 76 nt directed reads,2x76D,2012-04-03T00:00:00Z,SRS307248,GSM900183,Ovary,Nist14,SRP012040,"C57 black 6\, the most common inbred strain of laboratory mouse",C57BL/6J,1
SRR453079,"Adult 8 weeks,Adult 8 weeks","adult-8wks,adult-8wks",RNA-Seq,152,CSHL lab,PRJNA66167,11AWC,SAMN00849374,Ovary,mouse,Ovary,U,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Sequencing analysis of RNA expression,RnaSeq,SRX135150,GSM900183,Illumina Genome Analyzer II,Gingeras - Cold Spring Harbor Laboratory,CSHL-m,LID20821,GSM900183: CSHL_RnaSeq_Ovary_adult-8wks,PAIRED,cDNA,TRANSCRIPTOMIC,774,440,Mus musculus,ILLUMINA,Paired 76 nt directed reads,2x76D,2012-04-03T00:00:00Z,SRS307248,GSM900183,Ovary,Nist14,SRP012040,"C57 black 6\, the most common inbred strain of laboratory mouse",C57BL/6J,1
SRR453080,"Adult 8 weeks,Adult 8 weeks","adult-8wks,adult-8wks",RNA-Seq,152,CSHL lab,PRJNA66167,11AWC,SAMN00849374,Ovary,mouse,Ovary,U,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Sequencing analysis of RNA expression,RnaSeq,SRX135150,GSM900183,Illumina Genome Analyzer II,Gingeras - Cold Spring Harbor Laboratory,CSHL-m,LID20821,GSM900183: CSHL_RnaSeq_Ovary_adult-8wks,PAIRED,cDNA,TRANSCRIPTOMIC,1693,929,Mus musculus,ILLUMINA,Paired 76 nt directed reads,2x76D,2012-04-03T00:00:00Z,SRS307248,GSM900183,Ovary,Nist14,SRP012040,"C57 black 6\, the most common inbred strain of laboratory mouse",C57BL/6J,1
SRR453081,"Adult 8 weeks,Adult 8 weeks","adult-8wks,adult-8wks",RNA-Seq,152,CSHL lab,PRJNA66167,11AWC,SAMN00849374,Ovary,mouse,Ovary,U,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Sequencing analysis of RNA expression,RnaSeq,SRX135150,GSM900183,Illumina Genome Analyzer II,Gingeras - Cold Spring Harbor Laboratory,CSHL-m,LID20821,GSM900183: CSHL_RnaSeq_Ovary_adult-8wks,PAIRED,cDNA,TRANSCRIPTOMIC,1687,948,Mus musculus,ILLUMINA,Paired 76 nt directed reads,2x76D,2012-04-03T00:00:00Z,SRS307248,GSM900183,Ovary,Nist14,SRP012040,"C57 black 6\, the most common inbred strain of laboratory mouse",C57BL/6J,1
SRR453082,"Adult 8 weeks,Adult 8 weeks","adult-8wks,adult-8wks",RNA-Seq,152,CSHL lab,PRJNA66167,11AWC,SAMN00849374,Ovary,mouse,Ovary,U,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Sequencing analysis of RNA expression,RnaSeq,SRX135150,GSM900183,Illumina Genome Analyzer II,Gingeras - Cold Spring Harbor Laboratory,CSHL-m,LID20821,GSM900183: CSHL_RnaSeq_Ovary_adult-8wks,PAIRED,cDNA,TRANSCRIPTOMIC,1571,874,Mus musculus,ILLUMINA,Paired 76 nt directed reads,2x76D,2012-04-03T00:00:00Z,SRS307248,GSM900183,Ovary,Nist14,SRP012040,"C57 black 6\, the most common inbred strain of laboratory mouse",C57BL/6J,1
SRR453083,"Adult 8 weeks,Adult 8 weeks","adult-8wks,adult-8wks",RNA-Seq,152,CSHL lab,PRJNA66167,11AWC,SAMN00849374,Ovary,mouse,Ovary,U,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Sequencing analysis of RNA expression,RnaSeq,SRX135150,GSM900183,Illumina Genome Analyzer II,Gingeras - Cold Spring Harbor Laboratory,CSHL-m,LID20821,GSM900183: CSHL_RnaSeq_Ovary_adult-8wks,PAIRED,cDNA,TRANSCRIPTOMIC,1629,957,Mus musculus,ILLUMINA,Paired 76 nt directed reads,2x76D,2012-04-03T00:00:00Z,SRS307248,GSM900183,Ovary,Nist14,SRP012040,"C57 black 6\, the most common inbred strain of laboratory mouse",C57BL/6J,1
SRR453084,"Adult 8 weeks,Adult 8 weeks","adult-8wks,adult-8wks",RNA-Seq,152,CSHL lab,PRJNA66167,11AWC,SAMN00849374,Ovary,mouse,Ovary,U,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Sequencing analysis of RNA expression,RnaSeq,SRX135150,GSM900183,Illumina Genome Analyzer II,Gingeras - Cold Spring Harbor Laboratory,CSHL-m,LID20821,GSM900183: CSHL_RnaSeq_Ovary_adult-8wks,PAIRED,cDNA,TRANSCRIPTOMIC,1151,653,Mus musculus,ILLUMINA,Paired 76 nt directed reads,2x76D,2012-04-03T00:00:00Z,SRS307248,GSM900183,Ovary,Nist14,SRP012040,"C57 black 6\, the most common inbred strain of laboratory mouse",C57BL/6J,1
SRR453085,"Adult 8 weeks,Adult 8 weeks","adult-8wks,adult-8wks",RNA-Seq,152,CSHL lab,PRJNA66167,11AWC,SAMN00849374,Ovary,mouse,Ovary,U,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Sequencing analysis of RNA expression,RnaSeq,SRX135150,GSM900183,Illumina Genome Analyzer II,Gingeras - Cold Spring Harbor Laboratory,CSHL-m,LID20821,GSM900183: CSHL_RnaSeq_Ovary_adult-8wks,PAIRED,cDNA,TRANSCRIPTOMIC,1606,951,Mus musculus,ILLUMINA,Paired 76 nt directed reads,2x76D,2012-04-03T00:00:00Z,SRS307248,GSM900183,Ovary,Nist14,SRP012040,"C57 black 6\, the most common inbred strain of laboratory mouse",C57BL/6J,1
SRR453086,"Adult 8 weeks,Adult 8 weeks","adult-8wks,adult-8wks",RNA-Seq,152,CSHL lab,PRJNA66167,11AWC,SAMN00849374,Ovary,mouse,Ovary,U,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Sequencing analysis of RNA expression,RnaSeq,SRX135150,GSM900183,Illumina Genome Analyzer II,Gingeras - Cold Spring Harbor Laboratory,CSHL-m,LID20821,GSM900183: CSHL_RnaSeq_Ovary_adult-8wks,PAIRED,cDNA,TRANSCRIPTOMIC,1668,977,Mus musculus,ILLUMINA,Paired 76 nt directed reads,2x76D,2012-04-03T00:00:00Z,SRS307248,GSM900183,Ovary,Nist14,SRP012040,"C57 black 6\, the most common inbred strain of laboratory mouse",C57BL/6J,1
